,Unnamed: 0,0,1,2,deviation,strategy_prediction
714,714,0.9,1.1,2.9,2.1,True
46,46,0.5,0.9,2.5,2.1,True
64,64,0.5,1.1,2.5,2.1,True
371,371,0.7,0.9,2.7,2.1,True
696,696,0.9,0.9,2.9,2.1,True
389,389,0.7,1.1,2.7,2.1000000000000005,True
82,82,0.5,1.3,2.5,2.3,True
441,441,0.7,1.7,2.3,2.3,True
732,732,0.9,1.3,2.9,2.3,True
697,697,0.9,0.9,3.1,2.3,True
766,766,0.9,1.7,2.5,2.3,True
372,372,0.7,0.9,2.9,2.3,True
424,424,0.7,1.5,2.5,2.3,True
1056,1056,1.1,1.3,2.9,2.3,True
390,390,0.7,1.1,2.9,2.3,True
99,99,0.5,1.5,2.3,2.3,True
1039,1039,1.1,1.1,3.1,2.3000000000000003,True
407,407,0.7,1.3,2.7,2.3000000000000003,True
65,65,0.5,1.1,2.7,2.3000000000000003,True
1021,1021,1.1,0.9,3.1,2.3000000000000003,True
47,47,0.5,0.9,2.7,2.3000000000000003,True
749,749,0.9,1.5,2.7,2.3000000000000003,True
715,715,0.9,1.1,3.1,2.3000000000000003,True
117,117,0.5,1.7,2.3,2.5,True
373,373,0.7,0.9,3.1,2.5,True
354,354,0.7,0.7,2.9,2.5,True
391,391,0.7,1.1,3.1,2.5,True
1022,1022,1.1,0.9,3.3,2.5,True
733,733,0.9,1.3,3.1,2.5,True
716,716,0.9,1.1,3.3,2.5,True
134,134,0.5,1.9,2.1,2.5,True
100,100,0.5,1.5,2.5,2.5,True
750,750,0.9,1.5,2.9,2.5,True
767,767,0.9,1.7,2.7,2.5,True
784,784,0.9,1.9,2.5,2.5,True
408,408,0.7,1.3,2.9,2.5,True
801,801,0.9,2.1,2.3,2.5,True
151,151,0.5,2.1,1.9,2.5,True
29,29,0.5,0.7,2.7,2.5,True
476,476,0.7,2.1,2.1,2.5,True
679,679,0.9,0.7,3.1,2.5,True
1057,1057,1.1,1.3,3.1,2.5,True
1074,1074,1.1,1.5,2.9,2.5,True
459,459,0.7,1.9,2.3,2.5,True
48,48,0.5,0.9,2.9,2.5,True
66,66,0.5,1.1,2.9,2.5,True
442,442,0.7,1.7,2.5,2.5,True
1040,1040,1.1,1.1,3.3,2.5,True
425,425,0.7,1.5,2.7,2.5,True
83,83,0.5,1.3,2.7,2.5,True
698,698,0.9,0.9,3.3,2.5,True
1091,1091,1.1,1.7,2.7,2.5,True
819,819,0.9,2.3,2.3,2.7,True
220,220,0.5,2.9,1.3,2.7,True
836,836,0.9,2.5,2.1,2.7,True
1109,1109,1.1,1.9,2.7,2.7,True
1092,1092,1.1,1.7,2.9,2.7,True
853,853,0.9,2.7,1.9,2.7,True
1058,1058,1.1,1.3,3.3,2.7,True
870,870,0.9,2.9,1.7,2.7,True
887,887,0.9,3.1,1.5,2.7,True
237,237,0.5,3.1,1.1,2.7,True
1023,1023,1.1,0.9,3.5,2.7,True
904,904,0.9,3.3,1.3,2.7,True
921,921,0.9,3.5,1.1,2.7,True
1041,1041,1.1,1.1,3.5,2.7,True
1075,1075,1.1,1.5,3.1,2.7,True
11,11,0.5,0.5,2.7,2.7,True
374,374,0.7,0.9,3.3,2.7,True
785,785,0.9,1.9,2.7,2.7,True
528,528,0.7,2.7,1.7,2.7,True
545,545,0.7,2.9,1.5,2.7,True
562,562,0.7,3.1,1.3,2.7,True
579,579,0.7,3.3,1.1,2.7,True
511,511,0.7,2.5,1.9,2.7,True
494,494,0.7,2.3,2.1,2.7,True
661,661,0.9,0.5,3.1,2.7,True
477,477,0.7,2.1,2.3,2.7,True
680,680,0.9,0.7,3.3,2.7,True
460,460,0.7,1.9,2.5,2.7,True
802,802,0.9,2.1,2.5,2.7,True
443,443,0.7,1.7,2.7,2.7,True
426,426,0.7,1.5,2.9,2.7,True
409,409,0.7,1.3,3.1,2.7,True
392,392,0.7,1.1,3.3,2.7,True
717,717,0.9,1.1,3.5,2.7,True
1126,1126,1.1,2.1,2.5,2.7,True
355,355,0.7,0.7,3.1,2.7,True
734,734,0.9,1.3,3.3,2.7,True
336,336,0.7,0.5,2.9,2.7,True
751,751,0.9,1.5,3.1,2.7,True
768,768,0.9,1.7,2.9,2.7,True
699,699,0.9,0.9,3.5,2.7,True
203,203,0.5,2.7,1.5,2.7,True
1004,1004,1.1,0.7,3.3,2.7,True
135,135,0.5,1.9,2.3,2.7,True
101,101,0.5,1.5,2.7,2.7,True
84,84,0.5,1.3,2.9,2.7,True
186,186,0.5,2.5,1.7,2.7,True
67,67,0.5,1.1,3.1,2.7,True
118,118,0.5,1.7,2.5,2.7,True
152,152,0.5,2.1,2.1,2.7,True
1364,1364,1.3,1.1,3.3,2.7,True
1346,1346,1.3,0.9,3.3,2.7,True
