,0,1,2,deviation
0,0.5,0.5,0.5,1.5
1,0.5,0.5,0.7,1.3
2,0.5,0.5,0.9,1.1
3,0.5,0.5,1.1,1.1
4,0.5,0.5,1.3,1.3
5,0.5,0.5,1.5,1.5
6,0.5,0.5,1.7,1.7
7,0.5,0.5,1.9,1.9
8,0.5,0.5,2.1,2.1
9,0.5,0.5,2.3,2.3
10,0.5,0.5,2.5,2.5
11,0.5,0.5,2.7,2.7
12,0.5,0.5,2.9,2.9
13,0.5,0.5,3.1,3.1
14,0.5,0.5,3.3,3.3
15,0.5,0.5,3.5,3.5
16,0.5,0.5,3.7,3.7
17,0.5,0.5,3.9,3.9
18,0.5,0.7,0.5,1.3
19,0.5,0.7,0.7,1.1
20,0.5,0.7,0.9,0.9
21,0.5,0.7,1.1,0.9000000000000001
22,0.5,0.7,1.3,1.1
23,0.5,0.7,1.5,1.3
24,0.5,0.7,1.7,1.5
25,0.5,0.7,1.9,1.7
26,0.5,0.7,2.1,1.9000000000000001
27,0.5,0.7,2.3,2.0999999999999996
28,0.5,0.7,2.5,2.3
29,0.5,0.7,2.7,2.5
30,0.5,0.7,2.9,2.7
31,0.5,0.7,3.1,2.9000000000000004
32,0.5,0.7,3.3,3.0999999999999996
33,0.5,0.7,3.5,3.3
34,0.5,0.7,3.7,3.5
35,0.5,0.7,3.9,3.7
36,0.5,0.9,0.5,1.1
37,0.5,0.9,0.7,0.9
38,0.5,0.9,0.9,0.7
39,0.5,0.9,1.1,0.7000000000000001
40,0.5,0.9,1.3,0.9
41,0.5,0.9,1.5,1.1
42,0.5,0.9,1.7,1.2999999999999998
43,0.5,0.9,1.9,1.5
44,0.5,0.9,2.1,1.7000000000000002
45,0.5,0.9,2.3,1.9
46,0.5,0.9,2.5,2.1
47,0.5,0.9,2.7,2.3000000000000003
48,0.5,0.9,2.9,2.5
49,0.5,0.9,3.1,2.7
50,0.5,0.9,3.3,2.9
51,0.5,0.9,3.5,3.1
52,0.5,0.9,3.7,3.3000000000000003
53,0.5,0.9,3.9,3.5
54,0.5,1.1,0.5,1.1
55,0.5,1.1,0.7,0.9000000000000001
56,0.5,1.1,0.9,0.7000000000000001
57,0.5,1.1,1.1,0.7000000000000002
58,0.5,1.1,1.3,0.9000000000000001
59,0.5,1.1,1.5,1.1
60,0.5,1.1,1.7,1.3
61,0.5,1.1,1.9,1.5
62,0.5,1.1,2.1,1.7000000000000002
63,0.5,1.1,2.3,1.9
64,0.5,1.1,2.5,2.1
65,0.5,1.1,2.7,2.3000000000000003
66,0.5,1.1,2.9,2.5
67,0.5,1.1,3.1,2.7
68,0.5,1.1,3.3,2.9
69,0.5,1.1,3.5,3.1
70,0.5,1.1,3.7,3.3000000000000003
71,0.5,1.1,3.9,3.5
72,0.5,1.3,0.5,1.3
73,0.5,1.3,0.7,1.1
74,0.5,1.3,0.9,0.9
75,0.5,1.3,1.1,0.9000000000000001
76,0.5,1.3,1.3,1.1
77,0.5,1.3,1.5,1.3
78,0.5,1.3,1.7,1.5
79,0.5,1.3,1.9,1.7
80,0.5,1.3,2.1,1.9000000000000001
81,0.5,1.3,2.3,2.0999999999999996
82,0.5,1.3,2.5,2.3
83,0.5,1.3,2.7,2.5
84,0.5,1.3,2.9,2.7
85,0.5,1.3,3.1,2.9000000000000004
86,0.5,1.3,3.3,3.0999999999999996
87,0.5,1.3,3.5,3.3
88,0.5,1.3,3.7,3.5
89,0.5,1.3,3.9,3.7
90,0.5,1.5,0.5,1.5
91,0.5,1.5,0.7,1.3
92,0.5,1.5,0.9,1.1
93,0.5,1.5,1.1,1.1
94,0.5,1.5,1.3,1.3
95,0.5,1.5,1.5,1.5
96,0.5,1.5,1.7,1.7
97,0.5,1.5,1.9,1.9
98,0.5,1.5,2.1,2.1
99,0.5,1.5,2.3,2.3
100,0.5,1.5,2.5,2.5
101,0.5,1.5,2.7,2.7
102,0.5,1.5,2.9,2.9
103,0.5,1.5,3.1,3.1
104,0.5,1.5,3.3,3.3
105,0.5,1.5,3.5,3.5
106,0.5,1.5,3.7,3.7
107,0.5,1.5,3.9,3.9
108,0.5,1.7,0.5,1.7
109,0.5,1.7,0.7,1.5
110,0.5,1.7,0.9,1.2999999999999998
111,0.5,1.7,1.1,1.3
112,0.5,1.7,1.3,1.5
113,0.5,1.7,1.5,1.7
114,0.5,1.7,1.7,1.9
115,0.5,1.7,1.9,2.0999999999999996
116,0.5,1.7,2.1,2.3
117,0.5,1.7,2.3,2.5
118,0.5,1.7,2.5,2.7
119,0.5,1.7,2.7,2.9000000000000004
120,0.5,1.7,2.9,3.0999999999999996
121,0.5,1.7,3.1,3.3
122,0.5,1.7,3.3,3.5
123,0.5,1.7,3.5,3.7
124,0.5,1.7,3.7,3.9000000000000004
125,0.5,1.7,3.9,4.1
126,0.5,1.9,0.5,1.9
127,0.5,1.9,0.7,1.7
128,0.5,1.9,0.9,1.5
129,0.5,1.9,1.1,1.5
130,0.5,1.9,1.3,1.7
131,0.5,1.9,1.5,1.9
132,0.5,1.9,1.7,2.0999999999999996
133,0.5,1.9,1.9,2.3
134,0.5,1.9,2.1,2.5
135,0.5,1.9,2.3,2.6999999999999997
136,0.5,1.9,2.5,2.9
137,0.5,1.9,2.7,3.1
138,0.5,1.9,2.9,3.3
139,0.5,1.9,3.1,3.5
140,0.5,1.9,3.3,3.6999999999999997
141,0.5,1.9,3.5,3.9
142,0.5,1.9,3.7,4.1
143,0.5,1.9,3.9,4.3
144,0.5,2.1,0.5,2.1
145,0.5,2.1,0.7,1.9000000000000001
146,0.5,2.1,0.9,1.7000000000000002
147,0.5,2.1,1.1,1.7000000000000002
148,0.5,2.1,1.3,1.9000000000000001
149,0.5,2.1,1.5,2.1
150,0.5,2.1,1.7,2.3
151,0.5,2.1,1.9,2.5
152,0.5,2.1,2.1,2.7
153,0.5,2.1,2.3,2.9
154,0.5,2.1,2.5,3.1
155,0.5,2.1,2.7,3.3000000000000003
156,0.5,2.1,2.9,3.5
157,0.5,2.1,3.1,3.7
158,0.5,2.1,3.3,3.9
159,0.5,2.1,3.5,4.1
160,0.5,2.1,3.7,4.300000000000001
161,0.5,2.1,3.9,4.5
162,0.5,2.3,0.5,2.3
163,0.5,2.3,0.7,2.0999999999999996
164,0.5,2.3,0.9,1.9
165,0.5,2.3,1.1,1.9
166,0.5,2.3,1.3,2.0999999999999996
167,0.5,2.3,1.5,2.3
168,0.5,2.3,1.7,2.5
169,0.5,2.3,1.9,2.6999999999999997
170,0.5,2.3,2.1,2.9
171,0.5,2.3,2.3,3.0999999999999996
172,0.5,2.3,2.5,3.3
173,0.5,2.3,2.7,3.5
174,0.5,2.3,2.9,3.6999999999999997
175,0.5,2.3,3.1,3.9
176,0.5,2.3,3.3,4.1
177,0.5,2.3,3.5,4.3
178,0.5,2.3,3.7,4.5
179,0.5,2.3,3.9,4.699999999999999
180,0.5,2.5,0.5,2.5
181,0.5,2.5,0.7,2.3
182,0.5,2.5,0.9,2.1
183,0.5,2.5,1.1,2.1
184,0.5,2.5,1.3,2.3
185,0.5,2.5,1.5,2.5
186,0.5,2.5,1.7,2.7
187,0.5,2.5,1.9,2.9
188,0.5,2.5,2.1,3.1
189,0.5,2.5,2.3,3.3
190,0.5,2.5,2.5,3.5
191,0.5,2.5,2.7,3.7
192,0.5,2.5,2.9,3.9
193,0.5,2.5,3.1,4.1
194,0.5,2.5,3.3,4.3
195,0.5,2.5,3.5,4.5
196,0.5,2.5,3.7,4.7
197,0.5,2.5,3.9,4.9
198,0.5,2.7,0.5,2.7
199,0.5,2.7,0.7,2.5
200,0.5,2.7,0.9,2.3000000000000003
201,0.5,2.7,1.1,2.3000000000000003
202,0.5,2.7,1.3,2.5
203,0.5,2.7,1.5,2.7
204,0.5,2.7,1.7,2.9000000000000004
205,0.5,2.7,1.9,3.1
206,0.5,2.7,2.1,3.3000000000000003
207,0.5,2.7,2.3,3.5
208,0.5,2.7,2.5,3.7
209,0.5,2.7,2.7,3.9000000000000004
210,0.5,2.7,2.9,4.1
211,0.5,2.7,3.1,4.300000000000001
212,0.5,2.7,3.3,4.5
213,0.5,2.7,3.5,4.7
214,0.5,2.7,3.7,4.9
215,0.5,2.7,3.9,5.1
216,0.5,2.9,0.5,2.9
217,0.5,2.9,0.7,2.7
218,0.5,2.9,0.9,2.5
219,0.5,2.9,1.1,2.5
220,0.5,2.9,1.3,2.7
221,0.5,2.9,1.5,2.9
222,0.5,2.9,1.7,3.0999999999999996
223,0.5,2.9,1.9,3.3
224,0.5,2.9,2.1,3.5
225,0.5,2.9,2.3,3.6999999999999997
226,0.5,2.9,2.5,3.9
227,0.5,2.9,2.7,4.1
228,0.5,2.9,2.9,4.3
229,0.5,2.9,3.1,4.5
230,0.5,2.9,3.3,4.699999999999999
231,0.5,2.9,3.5,4.9
232,0.5,2.9,3.7,5.1
233,0.5,2.9,3.9,5.3
234,0.5,3.1,0.5,3.1
235,0.5,3.1,0.7,2.9000000000000004
236,0.5,3.1,0.9,2.7
237,0.5,3.1,1.1,2.7
238,0.5,3.1,1.3,2.9000000000000004
239,0.5,3.1,1.5,3.1
240,0.5,3.1,1.7,3.3
241,0.5,3.1,1.9,3.5
242,0.5,3.1,2.1,3.7
243,0.5,3.1,2.3,3.9
244,0.5,3.1,2.5,4.1
245,0.5,3.1,2.7,4.300000000000001
246,0.5,3.1,2.9,4.5
247,0.5,3.1,3.1,4.7
248,0.5,3.1,3.3,4.9
249,0.5,3.1,3.5,5.1
250,0.5,3.1,3.7,5.300000000000001
251,0.5,3.1,3.9,5.5
252,0.5,3.3,0.5,3.3
253,0.5,3.3,0.7,3.0999999999999996
254,0.5,3.3,0.9,2.9
255,0.5,3.3,1.1,2.9
256,0.5,3.3,1.3,3.0999999999999996
257,0.5,3.3,1.5,3.3
258,0.5,3.3,1.7,3.5
259,0.5,3.3,1.9,3.6999999999999997
260,0.5,3.3,2.1,3.9
261,0.5,3.3,2.3,4.1
262,0.5,3.3,2.5,4.3
263,0.5,3.3,2.7,4.5
264,0.5,3.3,2.9,4.699999999999999
265,0.5,3.3,3.1,4.9
266,0.5,3.3,3.3,5.1
267,0.5,3.3,3.5,5.3
268,0.5,3.3,3.7,5.5
269,0.5,3.3,3.9,5.699999999999999
270,0.5,3.5,0.5,3.5
271,0.5,3.5,0.7,3.3
272,0.5,3.5,0.9,3.1
273,0.5,3.5,1.1,3.1
274,0.5,3.5,1.3,3.3
275,0.5,3.5,1.5,3.5
276,0.5,3.5,1.7,3.7
277,0.5,3.5,1.9,3.9
278,0.5,3.5,2.1,4.1
279,0.5,3.5,2.3,4.3
280,0.5,3.5,2.5,4.5
281,0.5,3.5,2.7,4.7
282,0.5,3.5,2.9,4.9
283,0.5,3.5,3.1,5.1
284,0.5,3.5,3.3,5.3
285,0.5,3.5,3.5,5.5
286,0.5,3.5,3.7,5.7
287,0.5,3.5,3.9,5.9
288,0.5,3.7,0.5,3.7
289,0.5,3.7,0.7,3.5
290,0.5,3.7,0.9,3.3000000000000003
291,0.5,3.7,1.1,3.3000000000000003
292,0.5,3.7,1.3,3.5
293,0.5,3.7,1.5,3.7
294,0.5,3.7,1.7,3.9000000000000004
295,0.5,3.7,1.9,4.1
296,0.5,3.7,2.1,4.300000000000001
297,0.5,3.7,2.3,4.5
298,0.5,3.7,2.5,4.7
299,0.5,3.7,2.7,4.9
300,0.5,3.7,2.9,5.1
301,0.5,3.7,3.1,5.300000000000001
302,0.5,3.7,3.3,5.5
303,0.5,3.7,3.5,5.7
304,0.5,3.7,3.7,5.9
305,0.5,3.7,3.9,6.1
306,0.5,3.9,0.5,3.9
307,0.5,3.9,0.7,3.7
308,0.5,3.9,0.9,3.5
309,0.5,3.9,1.1,3.5
310,0.5,3.9,1.3,3.7
311,0.5,3.9,1.5,3.9
312,0.5,3.9,1.7,4.1
313,0.5,3.9,1.9,4.3
314,0.5,3.9,2.1,4.5
315,0.5,3.9,2.3,4.699999999999999
316,0.5,3.9,2.5,4.9
317,0.5,3.9,2.7,5.1
318,0.5,3.9,2.9,5.3
319,0.5,3.9,3.1,5.5
320,0.5,3.9,3.3,5.699999999999999
321,0.5,3.9,3.5,5.9
322,0.5,3.9,3.7,6.1
323,0.5,3.9,3.9,6.3
324,0.7,0.5,0.5,1.3
325,0.7,0.5,0.7,1.1
326,0.7,0.5,0.9,0.9
327,0.7,0.5,1.1,0.9000000000000001
328,0.7,0.5,1.3,1.1
329,0.7,0.5,1.5,1.3
330,0.7,0.5,1.7,1.5
331,0.7,0.5,1.9,1.7
332,0.7,0.5,2.1,1.9000000000000001
333,0.7,0.5,2.3,2.0999999999999996
334,0.7,0.5,2.5,2.3
335,0.7,0.5,2.7,2.5
336,0.7,0.5,2.9,2.7
337,0.7,0.5,3.1,2.9000000000000004
338,0.7,0.5,3.3,3.0999999999999996
339,0.7,0.5,3.5,3.3
340,0.7,0.5,3.7,3.5
341,0.7,0.5,3.9,3.7
342,0.7,0.7,0.5,1.1
343,0.7,0.7,0.7,0.9000000000000001
344,0.7,0.7,0.9,0.7000000000000001
345,0.7,0.7,1.1,0.7000000000000002
346,0.7,0.7,1.3,0.9000000000000001
347,0.7,0.7,1.5,1.1
348,0.7,0.7,1.7,1.3
349,0.7,0.7,1.9,1.5
350,0.7,0.7,2.1,1.7000000000000002
351,0.7,0.7,2.3,1.9
352,0.7,0.7,2.5,2.1
353,0.7,0.7,2.7,2.3000000000000003
354,0.7,0.7,2.9,2.5
355,0.7,0.7,3.1,2.7
356,0.7,0.7,3.3,2.9
357,0.7,0.7,3.5,3.1
358,0.7,0.7,3.7,3.3000000000000003
359,0.7,0.7,3.9,3.5
360,0.7,0.9,0.5,0.9
361,0.7,0.9,0.7,0.7000000000000001
362,0.7,0.9,0.9,0.5
363,0.7,0.9,1.1,0.5000000000000001
364,0.7,0.9,1.3,0.7000000000000001
365,0.7,0.9,1.5,0.9
366,0.7,0.9,1.7,1.1
367,0.7,0.9,1.9,1.2999999999999998
368,0.7,0.9,2.1,1.5
369,0.7,0.9,2.3,1.6999999999999997
370,0.7,0.9,2.5,1.9
371,0.7,0.9,2.7,2.1
372,0.7,0.9,2.9,2.3
373,0.7,0.9,3.1,2.5
374,0.7,0.9,3.3,2.6999999999999997
375,0.7,0.9,3.5,2.9
376,0.7,0.9,3.7,3.1
377,0.7,0.9,3.9,3.3
378,0.7,1.1,0.5,0.9000000000000001
379,0.7,1.1,0.7,0.7000000000000002
380,0.7,1.1,0.9,0.5000000000000001
381,0.7,1.1,1.1,0.5000000000000002
382,0.7,1.1,1.3,0.7000000000000002
383,0.7,1.1,1.5,0.9000000000000001
384,0.7,1.1,1.7,1.1
385,0.7,1.1,1.9,1.3
386,0.7,1.1,2.1,1.5000000000000002
387,0.7,1.1,2.3,1.7
388,0.7,1.1,2.5,1.9000000000000001
389,0.7,1.1,2.7,2.1000000000000005
390,0.7,1.1,2.9,2.3
391,0.7,1.1,3.1,2.5
392,0.7,1.1,3.3,2.7
393,0.7,1.1,3.5,2.9000000000000004
394,0.7,1.1,3.7,3.1000000000000005
395,0.7,1.1,3.9,3.3
396,0.7,1.3,0.5,1.1
397,0.7,1.3,0.7,0.9000000000000001
398,0.7,1.3,0.9,0.7000000000000001
399,0.7,1.3,1.1,0.7000000000000002
400,0.7,1.3,1.3,0.9000000000000001
401,0.7,1.3,1.5,1.1
402,0.7,1.3,1.7,1.3
403,0.7,1.3,1.9,1.5
404,0.7,1.3,2.1,1.7000000000000002
405,0.7,1.3,2.3,1.9
406,0.7,1.3,2.5,2.1
407,0.7,1.3,2.7,2.3000000000000003
408,0.7,1.3,2.9,2.5
409,0.7,1.3,3.1,2.7
410,0.7,1.3,3.3,2.9
411,0.7,1.3,3.5,3.1
412,0.7,1.3,3.7,3.3000000000000003
413,0.7,1.3,3.9,3.5
414,0.7,1.5,0.5,1.3
415,0.7,1.5,0.7,1.1
416,0.7,1.5,0.9,0.9
417,0.7,1.5,1.1,0.9000000000000001
418,0.7,1.5,1.3,1.1
419,0.7,1.5,1.5,1.3
420,0.7,1.5,1.7,1.5
421,0.7,1.5,1.9,1.7
422,0.7,1.5,2.1,1.9000000000000001
423,0.7,1.5,2.3,2.0999999999999996
424,0.7,1.5,2.5,2.3
425,0.7,1.5,2.7,2.5
426,0.7,1.5,2.9,2.7
427,0.7,1.5,3.1,2.9000000000000004
428,0.7,1.5,3.3,3.0999999999999996
429,0.7,1.5,3.5,3.3
430,0.7,1.5,3.7,3.5
431,0.7,1.5,3.9,3.7
432,0.7,1.7,0.5,1.5
433,0.7,1.7,0.7,1.3
434,0.7,1.7,0.9,1.1
435,0.7,1.7,1.1,1.1
436,0.7,1.7,1.3,1.3
437,0.7,1.7,1.5,1.5
438,0.7,1.7,1.7,1.7
439,0.7,1.7,1.9,1.9
440,0.7,1.7,2.1,2.1
441,0.7,1.7,2.3,2.3
442,0.7,1.7,2.5,2.5
443,0.7,1.7,2.7,2.7
444,0.7,1.7,2.9,2.9
445,0.7,1.7,3.1,3.1
446,0.7,1.7,3.3,3.3
447,0.7,1.7,3.5,3.5
448,0.7,1.7,3.7,3.7
449,0.7,1.7,3.9,3.9
450,0.7,1.9,0.5,1.7
451,0.7,1.9,0.7,1.5
452,0.7,1.9,0.9,1.2999999999999998
453,0.7,1.9,1.1,1.3
454,0.7,1.9,1.3,1.5
455,0.7,1.9,1.5,1.7
456,0.7,1.9,1.7,1.9
457,0.7,1.9,1.9,2.0999999999999996
458,0.7,1.9,2.1,2.3
459,0.7,1.9,2.3,2.5
460,0.7,1.9,2.5,2.7
461,0.7,1.9,2.7,2.9000000000000004
462,0.7,1.9,2.9,3.0999999999999996
463,0.7,1.9,3.1,3.3
464,0.7,1.9,3.3,3.5
465,0.7,1.9,3.5,3.7
466,0.7,1.9,3.7,3.9000000000000004
467,0.7,1.9,3.9,4.1
468,0.7,2.1,0.5,1.9000000000000001
469,0.7,2.1,0.7,1.7000000000000002
470,0.7,2.1,0.9,1.5
471,0.7,2.1,1.1,1.5000000000000002
472,0.7,2.1,1.3,1.7000000000000002
473,0.7,2.1,1.5,1.9000000000000001
474,0.7,2.1,1.7,2.1
475,0.7,2.1,1.9,2.3
476,0.7,2.1,2.1,2.5
477,0.7,2.1,2.3,2.7
478,0.7,2.1,2.5,2.9000000000000004
479,0.7,2.1,2.7,3.1000000000000005
480,0.7,2.1,2.9,3.3
481,0.7,2.1,3.1,3.5
482,0.7,2.1,3.3,3.7
483,0.7,2.1,3.5,3.9000000000000004
484,0.7,2.1,3.7,4.1000000000000005
485,0.7,2.1,3.9,4.3
486,0.7,2.3,0.5,2.0999999999999996
487,0.7,2.3,0.7,1.9
488,0.7,2.3,0.9,1.6999999999999997
489,0.7,2.3,1.1,1.7
490,0.7,2.3,1.3,1.9
491,0.7,2.3,1.5,2.0999999999999996
492,0.7,2.3,1.7,2.3
493,0.7,2.3,1.9,2.5
494,0.7,2.3,2.1,2.7
495,0.7,2.3,2.3,2.8999999999999995
496,0.7,2.3,2.5,3.0999999999999996
497,0.7,2.3,2.7,3.3
498,0.7,2.3,2.9,3.5
499,0.7,2.3,3.1,3.7
500,0.7,2.3,3.3,3.8999999999999995
501,0.7,2.3,3.5,4.1
502,0.7,2.3,3.7,4.3
503,0.7,2.3,3.9,4.5
504,0.7,2.5,0.5,2.3
505,0.7,2.5,0.7,2.1
506,0.7,2.5,0.9,1.9
507,0.7,2.5,1.1,1.9000000000000001
508,0.7,2.5,1.3,2.1
509,0.7,2.5,1.5,2.3
510,0.7,2.5,1.7,2.5
511,0.7,2.5,1.9,2.7
512,0.7,2.5,2.1,2.9000000000000004
513,0.7,2.5,2.3,3.0999999999999996
514,0.7,2.5,2.5,3.3
515,0.7,2.5,2.7,3.5
516,0.7,2.5,2.9,3.7
517,0.7,2.5,3.1,3.9000000000000004
518,0.7,2.5,3.3,4.1
519,0.7,2.5,3.5,4.3
520,0.7,2.5,3.7,4.5
521,0.7,2.5,3.9,4.7
522,0.7,2.7,0.5,2.5
523,0.7,2.7,0.7,2.3
524,0.7,2.7,0.9,2.1
